					
"""CODIGO"""	Codigo(S)	Estacion	Longitud	Latitud	Elevacion
"""TP0440"""	7001	Abapo	-63,404444	-18,919722	440
"""CO3880"""	2003	Achiri	-68,999444	-17,211666	3880
"""P3764"""	2041	Achocalla	-68,160833	-16,581111	3764
"""P3441"""	5074	actara	-68,966666	-19,05	3440
"""TP2255"""	3002	Aiquile	-65,178055	-18,203333	2255
"""TP3319"""	3048	Alalay	-65,683333	-17,75	3320
"""P0480"""	6001	Algarrobillas	-63,293888	-21,855555	480
"""P4383"""	2165	Alto Achachicala	-68,084722	-16,347222	4383
"""P2980"""	6002	Alto Cajas	-64,466666	-21,3	2980
"""P3870"""	2042	Ancoraimes	-68,904166	-15,898333	3870
"""CO3762"""	4001	Andamarca	-67,506388	-18,771944	3762
"""TP3032"""	3003	Anzaldo	-65,932777	-17,783611	3032
"""S1406"""	2092	Apolo Aeropuerto	-68,4125	-14,732777	1406
"""CO2767"""	3004	Arani	-65,754444	-17,573611	2767
"""S0247"""	7002	Asencion De Guarayos	-63,169166	-15,915277	247
"""CP3700"""	5058	Atocha	-66,216666	-20,933333	3700
"""CO3888"""	2001	Ayo Ayo	-68,008333	-17,094166	3888
"""TP3701"""	5069	Ayoma	-66,149166	-18,869722	3700
"""CO2530"""	1003	Azurduy	-64,41	-20,100555	2530
"""P4120"""	2044	Berenguela	-69,214166	-17,288888	4120
"""P1103"""	6064	Berety	-64,038055	-21,445	1103
"""S0385"""	7092	Bermejo SEARPI	-63,633333	-18,1	1000
"""P1000"""	6039	Bermejo_Aeropuerto tja	-64,311666	-22,770833	385
"""P0800"""	7003	Boyuibe	-63,277222	-20,435833	800
"""P0400"""	7004	Buena Vista Sc	-63,666666	-17,45	400
"""CO3720"""	4027	Cabania_Forestal_Oruro	-67,08	-17,974722	3720
"""P2401"""	1005	Cachimayu	-65,266666	-19,133333	2400
"""P3879"""	5005	Caiza D	-65,65	-20	3880
"""S0810"""	7040	Camiri Aeropuerto	-63,525833	-20,006666	810
"""CO2030"""	6006	Canias	-64,850833	-21,902222	2030
"""TP3951"""	2010	Caquiaviri	-68,605555	-17,022222	3951
"""CP0600"""	2012	Caranavi	-67,573611	-15,834722	600
"""CO1730"""	6154	Ce.Na.Vit.	-64,658055	-21,725277	1730
"""TP3551"""	5036	Chaqui	-65,55	-19,583333	3550
"""P3760"""	5009	Chaquilla	-66,133333	-19,85	3760
"""S4057"""	2091	Charania	-69,45	-17,583333	4057
"""P3659"""	2055	Charazani	-69,003611	-15,195277	3659
"""CP3449"""	5007	Chinoli	-65,361111	-19,648055	3450
"""TP0260"""	3012	Chipiriri	-65,482777	-16,873333	260
"""CO1795"""	6133	Chocloca	-64,729444	-21,748055	1795
"""TP2240"""	2017	Chorocona	-67,149722	-16,882777	2240
"""TP1775"""	1012	Chuqui Chuqui	-65,1225	-18,831111	1775
"""P4024"""	2056	Chuquiaguillo_LP	-68,0925	-16,449722	4024
"""TP2012"""	2050	Circuata	-67,252222	-16,637222	2012
"""P1864"""	6076	Ciudad-Tja	-64,726944	-21,538333	1864
