"CODIGO"	"Codigo2"	"Estacion"	"Longitud"	"Latitud"	"Elevacion"	"es_tmp"
"TP2475"	1063	"Zudaniez"	-64.703333	-19.118888	2475	TRUE
"CO2520"	1062	"Yotala"	-65.266388	-19.161666	2520	TRUE
"TP3450"	5035	"Yocalla"	-65.910277	-19.388888	3450	TRUE
"TP2200"	6037	"Yesera Norte"	-64.550833	-21.372222	2200	NA
"S0580"	6036	"Yacuiba Aeropuerto"	-63.654444	-21.965555	580	TRUE
"CO3020"	5039	"Vitichi"	-65.493055	-20.215555	3020	NA
"P2029"	1060	"Vinia Quemada"	-64.852777	-19.408333	2030	NA
"P3443"	5034	"Villazon"	-65.6	-22.083333	3443	NA
"S0359"	6035	"Villamontes Aeropuerto"	-63.4075	-21.254722	360	TRUE
"P2108"	1059	"Villa Serrano"	-64.3225	-19.118333	2108	NA
"S2030"	7036	"Vallegrande Aeropuerto"	-64.108055	-18.481944	2030	NA
"CP3669"	5033	"Uyuni"	-66.831388	-20.472222	3669	TRUE
"CP2956"	5030	"Tupiza"	-65.715277	-21.438333	2956	TRUE
"P2560"	6034	"Tucumillas"	-64.831111	-21.461111	2560	NA
"S0414"	7039	"Trompillo Aeropuerto"	-63.178055	-17.805	413	TRUE
"S0156"	8007	"Trinidad Aeropuerto"	-64.916388	-14.823333	156	TRUE
"CP3805"	4028	"Todo Santos_Or"	-68.715277	-19.007777	3805	NA
"CP3304"	3031	"Tiraque"	-65.724444	-17.425277	3304	TRUE
"TP3200"	5031	"Tinguipaya"	-65.816666	-19.216666	3200	TRUE
"S1875"	6031	"Tarija Aeropuerto"	-64.710833	-21.546666	1875	TRUE
"CP2775"	3030	"Tarata"	-66.022777	-17.608611	2775	TRUE
"CO3340"	5029	"Tarapaya"	-65.794722	-19.471666	3340	NA
"TP3284"	1053	"Tarabuco"	-64.913333	-19.180555	3284	TRUE
"TP2859"	1051	"Talula_Tako Tako"	-65.405277	-19.11	2859	TRUE
"CP2840"	1072	"Sucre SENAMHI"	-65.216666	-19.05	2890	TRUE
"CP2647"	2102	"Sorata"	-68.651666	-15.766666	2647	TRUE
"TP2101"	1049	"Sopachuy"	-64.474444	-19.486111	2100	NA
"P2080"	6030	"Sella Quebrada"	-64.7	-21.383333	2080	NA
"CO3874"	2028	"Santiago De Machaca"	-69.199444	-17.066666	3874	TRUE
"CO3845"	2030	"Santiago De Huata"	-68.810277	-16.051111	3845	TRUE
"S0144"	8006	"Santa Ana"	-65.434444	-13.761666	144	TRUE
"CO4230"	5046	"San Pablo de Lipez"	-66.616666	-21.683333	4230	NA
"CO3712"	4019	"San Martin"	-67.599166	-19.275	3712	NA
"TP3055"	1045	"San Lucas"	-65.133333	-20.1025	3055	TRUE
"S0284"	7042	"San Jose de Chiquitos"	-60.744166	-17.832222	284	TRUE
"TP3746"	2082	"San Jose Alto"	-67.778611	-17.704444	3746	NA
"S0139"	8004	"San Joaquin"	-64.665833	-13.047222	139	TRUE
"S0233"	7029	"San Javier"	-62.470833	-16.271388	234	TRUE
"TP1820"	6027	"San Jacinto Sud"	-64.72	-21.610277	1820	NA
"S0413"	7028	"San Ignacio De Velasco"	-60.961944	-16.381666	413	TRUE
"S0160"	8010	"San Ignacio De Moxos"	-65.633333	-14.966666	160	TRUE
"CO3658"	2033	"San Calixto"	-68.1325	-16.495277	3658	TRUE
"S0194"	8011	"San Borja"	-66.738611	-14.858333	194	TRUE
"TP2710"	3028	"San Benito"	-65.903888	-17.526388	2710	TRUE
"CP1987"	6028	"San Andres"	-64.815	-21.623333	1987	NA
"S0204"	8009	"Rurrenabaque Aeropuerto"	-67.502777	-14.429444	204	TRUE
"S0277"	7026	"Robore"	-59.763333	-18.329722	277	TRUE
"S0141"	8008	"Riberalta"	-66.076111	-11.006666	141	TRUE
"TP2460"	1043	"Redencion Pampa"	-64.616111	-18.825	2460	TRUE
"TP3201"	5037	"Ravelo"	-65.511944	-18.804722	3200	TRUE
"CO3420"	5020	"Puna"	-65.503333	-19.797222	3420	TRUE
"S0234"	7022	"Puerto Suarez Aeropuerto"	-57.819166	-18.978888	234	TRUE
"CP3950"	5015	"Potosi Los Pinos"	-65.75	-19.583333	3950	TRUE
"S4100"	5050	"Potosi Aeropuerto"	-65.720833	-19.536666	4100	TRUE
"TP2493"	3024	"Parotani"	-66.343611	-17.566111	2493	NA
"P0460"	6021	"Palmar Grande"	-63.441944	-21.531388	460	NA
"TP2560"	5021	"Palca Higueras"	-65.433333	-20.683333	2560	NA
"TP2102"	1034	"Padilla"	-64.302222	-19.302222	2102	TRUE
"S3702"	4012	"Oruro Aeropuerto"	-67.079722	-17.952777	3702	TRUE
"P2220"	1032	"Nuevo Mundo"	-64.292777	-18.996111	2220	NA
"P0860"	6018	"Narvaez"	-64.279444	-21.408055	1800	NA
"CP1117"	1029	"Monteagudo_El Baniado"	-63.963055	-19.821111	1117	TRUE
"TP3400"	5017	"Mojo"	-65.550555	-21.829166	3400	TRUE
"TP2045"	3049	"Mizque"	-65.337777	-17.942777	2045	TRUE
"TP3793"	3020	"Misicuni"	-66.327222	-17.09	3793	TRUE
"TP2680"	2066	"Mecapaca"	-68.018333	-16.671111	2680	NA
"S0140"	8003	"Magdalena"	-64.059722	-13.261111	141	TRUE
"CO2564"	2025	"Luribay"	-67.661944	-17.061388	2564	TRUE
"P3632"	2093	"Laykacota"	-68.123333	-16.504722	3632	TRUE
"TP2614"	3018	"La Violeta"	-66.231666	-17.347222	2614	TRUE
"P2420"	1025	"La Torre"	-65.140833	-20.615833	2420	TRUE
"CO0756"	2098	"La Asunta"	-67.196666	-16.126666	756	NA
"TP1900"	6014	"Juntas"	-64.7975	-21.810277	1900	NA
"CO3976"	2024	"Isla Del Sol"	-69.148333	-16.036666	3976	TRUE
"CO1946"	2023	"Irupana"	-67.452777	-16.473055	1946	TRUE
"TP2080"	1016	"El Villar"	-64.306944	-19.631111	2080	NA
"S4071"	2090	"El Alto Aeropuerto"	-68.198611	-16.510277	4071	TRUE
"TP2960"	1008	"Culpina"	-64.947777	-20.818333	2970	TRUE
"TP0517"	3009	"Cristal Mayu"	-65.643333	-17.007777	517	NA
"CO1788"	2007	"Coripata"	-67.604444	-16.324166	1788	TRUE
"S0497"	7007	"Concepcion_sc"	-62.0275	-16.138333	497	TRUE
"TP3309"	3008	"Colomi"	-65.870833	-17.336111	3309	NA
"TP3911"	2008	"Collana"	-68.281666	-16.900277	3911	TRUE
"CO3781"	5003	"Colcha K"	-67.658333	-20.736666	3780	NA
"P2027"	6009	"Coimata"	-64.788888	-21.499166	2027	TRUE
"S2548"	3035	"Cochabamba Aeropuerto"	-66.174444	-17.416111	2548	TRUE
"S0235"	9002	"Cobija Aeropuerto"	-68.780277	-11.039722	235	TRUE
"TP2012"	2050	"Circuata"	-67.252222	-16.637222	2012	NA
"TP1775"	1012	"Chuqui Chuqui"	-65.1225	-18.831111	1775	NA
"TP2240"	2017	"Chorocona"	-67.149722	-16.882777	2240	TRUE
"CP3449"	5007	"Chinoli"	-65.361111	-19.648055	3450	TRUE
"TP3551"	5036	"Chaqui"	-65.55	-19.583333	3550	NA
"CO2030"	6006	"Canias"	-64.850833	-21.902222	2030	NA
"S0810"	7040	"Camiri Aeropuerto"	-63.525833	-20.006666	810	TRUE
"P3879"	5005	"Caiza D"	-65.65	-20	3880	NA
"P1000"	6039	"Bermejo_Aeropuerto tja"	-64.311666	-22.770833	385	TRUE
"CO2530"	1003	"Azurduy"	-64.41	-20.100555	2530	TRUE
"CO3888"	2001	"Ayo Ayo"	-68.008333	-17.094166	3888	TRUE
"S0247"	7002	"Asencion De Guarayos"	-63.169166	-15.915277	247	NA
"CO2767"	3004	"Arani"	-65.754444	-17.573611	2767	TRUE
"TP3032"	3003	"Anzaldo"	-65.932777	-17.783611	3032	NA
"CO3880"	2003	"Achiri"	-68.999444	-17.211666	3880	NA
"TP0440"	7001	"Abapo"	-63.404444	-18.919722	440	NA
